 ,Label,Area,Mean,Min,Max,X,Y,IntDen,RawIntDen,Slice,Frame
1,mitosis-3t_C1,0.439,3563.107,3096,4079,6.519,9.286,1562.800,199534,1,1
2,mitosis-3t_C1,0.180,3586.870,3122,4062,7.486,9.137,646.145,82498,1,1
3,mitosis-3t_C1,0.070,3521.000,3153,4013,6.062,10.045,248.196,31689,1,1
4,mitosis-3t_C1,0.110,3599.643,3125,4010,8.142,10.355,394.706,50395,1,1
5,mitosis-3t_C1,0.070,3636.222,3143,4027,6.947,10.576,256.318,32726,1,1
6,mitosis-3t_C1,0.070,3496.778,3096,3947,7.390,8.363,246.489,31471,2,1
7,mitosis-3t_C1,0.070,3698.000,3450,3961,9.071,8.629,260.673,33282,2,1
8,mitosis-3t_C1,0.117,3532.667,3157,4075,9.567,9.124,415.031,52990,2,1
9,mitosis-3t_C1,0.211,3490.778,3142,4060,9.455,9.612,738.197,94251,2,1
10,mitosis-3t_C1,0.070,3454.444,3095,3769,9.248,10.222,243.505,31090,2,1
11,mitosis-3t_C1,0.070,3746.667,3439,4079,6.947,10.930,264.103,33720,2,1
12,mitosis-3t_C1,0.070,3469.889,3107,3793,7.301,8.275,244.593,31229,3,1
13,mitosis-3t_C1,0.070,3274.778,3076,3466,9.071,8.275,230.840,29473,3,1
14,mitosis-3t_C1,0.157,3576.900,3115,4004,6.646,8.686,560.304,71538,3,1
15,mitosis-3t_C1,0.094,3469.833,3137,4053,7.478,8.673,326.119,41638,3,1
16,mitosis-3t_C1,0.070,3333.000,3175,3692,5.177,9.248,234.944,29997,3,1
17,mitosis-3t_C1,0.094,3561.083,3124,4033,9.514,9.470,334.696,42733,3,1
18,mitosis-3t_C1,0.070,3661.444,3181,4085,4.823,10.310,258.096,32953,3,1
19,mitosis-3t_C1,0.070,3525.333,3226,3780,8.452,11.107,248.502,31728,3,1
20,mitosis-3t_C1,0.070,3511.000,3182,3789,8.540,11.992,247.491,31599,3,1
21,mitosis-3t_C1,0.070,3569.000,3189,4017,9.248,8.717,251.580,32121,4,1
22,mitosis-3t_C1,0.070,3548.111,3140,3886,10.133,9.514,250.107,31933,4,1
23,mitosis-3t_C1,0.070,3584.778,3132,3950,5.177,9.691,252.692,32263,4,1
24,mitosis-3t_C1,0.070,3547.556,3164,3853,5.000,10.576,250.068,31928,4,1
25,mitosis-3t_C1,0.070,3506.889,3258,3907,5.531,10.841,247.201,31562,4,1
26,mitosis-3t_C1,0.070,3353.556,3091,3733,7.832,11.018,236.393,30182,4,1
27,mitosis-3t_C1,0.094,3426.083,3150,3902,8.540,8.319,322.007,41113,5,1
28,mitosis-3t_C1,0.094,3576.583,3131,4094,6.461,8.717,336.152,42919,5,1
29,mitosis-3t_C1,0.094,3373.667,3122,3723,5.354,8.939,317.081,40484,5,1
30,mitosis-3t_C1,0.117,3480.933,3143,3781,4.522,10.611,408.953,52214,5,1
31,mitosis-3t_C1,0.117,3458.467,3090,3919,6.770,10.930,406.314,51877,5,1
32,mitosis-3t_C1,0.070,3623.000,3157,4058,7.390,10.930,255.386,32607,5,1
33,mitosis-3t_C1,0.070,3536.889,3197,3911,6.416,11.107,249.316,31832,5,1
34,mitosis-3t_C1,0.117,3425.333,3083,3872,8.186,11.372,402.421,51380,5,1
35,mitosis-3t_C1,0.094,3537.583,3143,4023,8.850,11.372,332.487,42451,5,1
36,mitosis-3t_C1,0.110,3369.286,3093,3739,6.815,11.682,369.447,47170,5,1
