 ,Label,Area,Mean,Min,Max,X,Y,IntDen,RawIntDen,Slice,Frame
1,mitosis-3t_C1,0.501,3567.312,2959,4072,8.685,9.111,1788.165,228308,1,2
2,mitosis-3t_C1,0.070,3355.222,3059,3606,7.921,8.806,236.510,30197,1,2
3,mitosis-3t_C1,0.572,3453.534,2963,4016,6.511,9.506,1974.573,252108,1,2
4,mitosis-3t_C1,0.094,3695.500,3329,4055,7.877,9.868,347.329,44346,1,2
5,mitosis-3t_C1,0.070,3554.222,3150,3974,7.124,10.222,250.538,31988,1,2
6,mitosis-3t_C1,0.258,3417.121,2950,4014,8.605,8.194,883.204,112765,2,2
7,mitosis-3t_C1,0.070,3435.778,3042,3750,7.832,8.452,242.189,30922,2,2
8,mitosis-3t_C1,0.172,3408.318,2951,3923,9.333,8.532,587.286,74983,2,2
9,mitosis-3t_C1,0.172,3479.545,2977,4070,6.308,8.975,599.559,76550,2,2
10,mitosis-3t_C1,0.094,3493.000,3144,3812,5.531,9.293,328.297,41916,2,2
11,mitosis-3t_C1,0.376,3568.167,2952,4065,5.316,10.083,1341.445,171272,2,2
12,mitosis-3t_C1,0.305,3474.641,2979,4064,8.697,10.147,1061.356,135511,2,2
13,mitosis-3t_C1,0.125,3335.938,2965,3841,7.523,10.664,418.046,53375,2,2
14,mitosis-3t_C1,0.094,3496.000,2974,4077,7.124,10.886,328.579,41952,2,2
15,mitosis-3t_C1,0.094,3467.000,3100,3848,6.992,11.284,325.853,41604,2,2
16,mitosis-3t_C1,0.070,3277.889,2957,3704,6.947,6.593,231.059,29501,3,2
17,mitosis-3t_C1,0.070,3337.111,3020,3676,7.213,7.124,235.234,30034,3,2
18,mitosis-3t_C1,0.149,3425.632,2956,4090,8.107,8.200,509.778,65087,3,2
19,mitosis-3t_C1,0.258,3305.273,2954,3989,9.490,8.556,854.295,109074,3,2
20,mitosis-3t_C1,0.180,3528.652,3053,3959,6.166,8.729,635.658,81159,3,2
21,mitosis-3t_C1,0.070,3771.667,3129,4088,9.425,9.071,265.866,33945,3,2
22,mitosis-3t_C1,0.070,3144.222,3004,3432,9.779,9.160,221.637,28298,3,2
23,mitosis-3t_C1,0.070,3459.667,2969,3875,6.151,10.930,243.873,31137,3,2
24,mitosis-3t_C1,0.094,3305.250,2973,3813,7.213,11.328,310.651,39663,3,2
25,mitosis-3t_C1,0.094,3504.417,3025,3777,6.726,11.372,329.370,42053,3,2
26,mitosis-3t_C1,0.070,3300.444,2949,3749,8.098,7.744,232.649,29704,4,2
27,mitosis-3t_C1,0.211,3419.000,2980,3993,7.586,8.265,723.018,92313,4,2
28,mitosis-3t_C1,0.141,3502.167,2962,4053,8.437,8.216,493.737,63039,4,2
29,mitosis-3t_C1,0.172,3518.773,2998,4065,6.090,8.959,606.318,77413,4,2
30,mitosis-3t_C1,0.070,3426.111,3010,4082,5.443,9.514,241.507,30835,4,2
31,mitosis-3t_C1,0.094,3420.417,3001,3897,10.133,9.647,321.475,41045,4,2
32,mitosis-3t_C1,0.486,3530.435,3022,4050,5.463,10.689,1714.378,218887,4,2
33,mitosis-3t_C1,0.141,3403.611,2965,4081,7.995,10.782,479.843,61265,4,2
34,mitosis-3t_C1,0.070,3255.444,3050,3518,7.301,10.841,229.477,29299,4,2
35,mitosis-3t_C1,0.117,3471.867,3064,3941,6.363,11.142,407.888,52078,4,2
36,mitosis-3t_C1,0.117,3443.667,2965,4040,6.947,11.284,404.575,51655,4,2
37,mitosis-3t_C1,0.070,3375.889,2954,3852,6.947,7.921,237.967,30383,5,2
38,mitosis-3t_C1,0.172,3531.727,2960,4062,8.496,8.363,608.550,77698,5,2
39,mitosis-3t_C1,0.094,3279.500,2962,3874,5.708,8.496,308.230,39354,5,2
40,mitosis-3t_C1,0.360,3433.435,2961,4062,6.309,8.800,1237.010,157938,5,2
41,mitosis-3t_C1,0.188,3419.167,2961,3973,5.078,9.835,642.714,82060,5,2
42,mitosis-3t_C1,0.603,3569.883,2958,4070,7.102,11.041,2152.937,274881,5,2
43,mitosis-3t_C1,0.117,3506.067,3070,3921,5.266,10.753,411.906,52591,5,2
44,mitosis-3t_C1,0.070,3257.556,2955,4043,4.735,10.841,229.626,29318,5,2
45,mitosis-3t_C1,0.070,3216.444,2964,3714,7.744,11.018,226.728,28948,5,2
46,mitosis-3t_C1,0.094,3291.167,3021,3632,8.894,11.063,309.327,39494,5,2
47,mitosis-3t_C1,0.070,3387.222,2966,4030,5.885,11.195,238.766,30485,5,2
48,mitosis-3t_C1,0.070,3413.444,3013,4011,8.540,11.195,240.615,30721,5,2
