 ,Label,Area,Mean,X,Y
72,C2-1-BeWo NS- DMSO-3-20x.tif,95.595,1987.333,298.071,2117.818
73,C2-1-BeWo NS- DMSO-3-20x.tif,72.834,822.688,266.535,2134.100
74,C2-1-BeWo NS- DMSO-3-20x.tif,274.645,306.072,999.246,2156.740
75,C2-1-BeWo NS- DMSO-3-20x.tif,303.475,797.860,1756.555,2236.680
76,C2-1-BeWo NS- DMSO-3-20x.tif,242.780,1883.619,843.503,2262.088
77,C2-1-BeWo NS- DMSO-3-20x.tif,204.846,1498.726,831.555,2276.451
78,C2-1-BeWo NS- DMSO-3-20x.tif,116.838,964.026,311.402,2311.235
79,C2-1-BeWo NS- DMSO-3-20x.tif,192.707,1013.102,1677.674,2319.548
80,C2-1-BeWo NS- DMSO-3-20x.tif,203.328,65.470,1732.681,2323.789
81,C2-1-BeWo NS- DMSO-3-20x.tif,159.325,2735.067,300.382,2448.650
82,C2-1-BeWo NS- DMSO-3-20x.tif,230.641,2162.974,307.557,2495.915
83,C2-1-BeWo NS- DMSO-3-20x.tif,174.498,2407.409,298.641,2509.958
84,C2-1-BeWo NS- DMSO-3-20x.tif,153.255,2483.158,317.766,2508.622
85,C2-1-BeWo NS- DMSO-3-20x.tif,323.201,1758.610,1041.676,2555.425
86,C2-1-BeWo NS- DMSO-3-20x.tif,247.332,1512.798,1560.498,2550.775
87,C2-1-BeWo NS- DMSO-3-20x.tif,477.974,1432.451,285.944,2620.999
88,C2-1-BeWo NS- DMSO-3-20x.tif,86.490,2366.298,309.068,2616.782
89,C2-1-BeWo NS- DMSO-3-20x.tif,133.529,2343.784,308.682,2632.620
90,C2-1-BeWo NS- DMSO-3-20x.tif,242.780,1987.694,1026.744,2635.976
91,C2-1-BeWo NS- DMSO-3-20x.tif,224.572,2420.520,912.253,2647.852
92,C2-1-BeWo NS- DMSO-3-20x.tif,121.390,668.275,308.047,2652.013
93,C2-1-BeWo NS- DMSO-3-20x.tif,138.081,2135.264,893.671,2663.076
94,C2-1-BeWo NS- DMSO-3-20x.tif,194.224,2055.961,884.417,2676.655
95,C2-1-BeWo NS- DMSO-3-20x.tif,168.429,1218.721,674.698,2678.789
96,C2-1-BeWo NS- DMSO-3-20x.tif,75.869,1354.240,305.417,2689.577
97,C2-1-BeWo NS- DMSO-3-20x.tif,315.614,2512.365,1169.090,2740.364
98,C2-1-BeWo NS- DMSO-3-20x.tif,227.606,1212.400,663.622,2747.710
99,C2-1-BeWo NS- DMSO-3-20x.tif,197.259,2461.138,1195.802,2753.872
100,C2-1-BeWo NS- DMSO-3-20x.tif,13.656,439.889,72.061,2800.539
101,C2-1-BeWo NS- DMSO-3-20x.tif,262.506,1097.994,1903.013,2881.469
